I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
3516	Tsu	1933	3	11	1	54	  7.8	16	 6.3				6.3			9	USA	CA	CALIFORNIA:  LONG BEACH	  33.620	 -117.970	150	     120	3					      40.000	4																
3539		1934	12	31			    		 7.1						 7.1	10	USA	CA	CALIFORNIA:  BAJA,IMPERIAL VALLEY	  31.800	 -115.500	150																								
3561		1935	10	19	4	48	  2.0		 6.2		 6.2					8	USA	MT	MONTANA:  HELENA	  46.600	 -112.000	150	       2	1				3	      19.000	3	300	3			       2	1				3	      19.000	3	300	3		
3563		1935	10	31	18	37	 47.0		 6.0		 6.0		5.5			8	USA	MT	MONTANA:  HELENA	  46.600	 -112.000	150	       2	1					       6.000	3					       2	1					       6.000	3				
3629	Tsu	1938	11	10	20	18	 41.2	25	 8.2	 8.2	 8.3	 8.2				6	USA	AK	ALASKA	  55.480	 -158.370	150																								
3662		1940	5	19	4	36	 40.9	16	 7.2		 7.2	 6.9	6.4			10	USA	CA	CALIFORNIA; MEXICO	  32.733	 -115.500	150	       9	1					      33.000	4					       9	1					      33.000	4				
3669		1940	7	14	5	52	 53.5	65	 7.4			 7.4					USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  52.000	  178.200	150																								
6346	Tsu	1941	2	9	9	44	  4.0		 6.6		 6.6		6.4			6	USA	CA	CALIFORNIA:  NORTHERN	  40.500	 -125.250	150								1												1				
3784		1944	9	5	4	38	 45.7	12	 5.6		 5.6				 5.6	8	USA	NY	NEW YORK:  MASSENA	  44.957	  -74.723	150							       2.000	2											       2.000	2				
3822	Tsu	1946	4	1	12	29	  1.3	15	 8.6	 8.6	 7.3					6	USA	AK	ALASKA:  UNIMAK ISLAND	  53.492	 -162.832	150													     167	3					      26.046	4		3		
6352	Tsu	1946	11	1	11	14	    	40									USA	AK	ALASKA:  EAST ALEUTIAN ISLANDS	  51.500	 -174.500	150																								
3852		1947	4	10	15	58	    		 6.4						 6.4		USA	CA	CALIFORNIA	  35.000	 -116.600	150								2																
3877		1948	5	14	22	31	    	25	 7.5						 7.5		USA	AK	ALASKA:  ALASKA PENINSULA	  54.500	 -161.000	150																								
3898	Tsu	1949	4	13	19	55	 42.0		 7.0		 7.0	 6.9				8	USA	WA	WASHINGTON	  47.167	 -122.617	150	       8	1					      25.000	4					       8	1					      25.000	4				
3923		1949	11	17	1	19	 52.0									5	USA	CA	CALIFORNIA:  SOUTHERN	  33.750	 -118.250	150							       9.000	3											       9.000	3				
3979		1951	8	15	7	23	    									5	USA	CA	CALIFORNIA:  TERMINAL ISLAND	  33.500	 -118.200	150							       3.000	2																
3980	Tsu	1951	8	21	10	57	    	60	 6.9						 6.9		USA	HI	HAWAII	  19.700	 -156.000	150					         2	1		2	8	1	230	3												
6364	Tsu	1952	3	17	3	58	    	33									USA	HI	HAWAII	  19.110	 -155.033	150																								
3999		1952	7	21	11	52	 14.0	16	 7.7		 7.7	 7.3	7.2		 7.7	11	USA	CA	CALIFORNIA:  KERN COUNTY	  35.000	 -119.017	150	      12	1					      60.000	4																
4002		1952	8	22	22	41	 24.0	16	 5.8				5.8			8	USA	CA	CALIFORNIA:  KERN COUNTY	  35.333	 -118.917	150	       2	1				2	      10.000	3	90	2			       2	1					      10.000	3	90	2		
4050		1954	7	6	11	13	    		 6.8						 6.8		USA	NV	NEVADA:  FALLON	  39.400	 -118.500	150								2																
4052		1954	8	23			    		 6.8						 6.8	12	USA	NV	NEVADA:  STILLWATER RANGE	  39.600	 -118.500	150																								
4060		1954	12	16	11	7	    		 7.0						 7.0	10	USA	NV	NEVADA:  DIXIE VALLEY	  39.300	 -118.200	150																								
4061		1955	1	25	12	23	    									4	USA	CA	CALIFORNIA:  TERMINAL ISLAND	  33.800	 -118.200	150							       3.000	2																
4116	Tsu	1957	3	9	14	22	 31.9	33	 8.6	 8.6	 9.1						USA	AK	ALASKA	  51.292	 -175.629	150								1					       2	1			1	1		3				
4118		1957	3	22	14	21	    		 7.5						 7.5	5	USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  55.000	 -165.200	150																								
4167	Tsu	1958	7	10	6	15	 59.9	35	 7.8	 7.8	 7.9					11	USA	AK	ALASKA:  LITUYA BAY	  58.370	 -136.665	150								1		1			       5	1					        .100	1		1		
4199	Tsu	1959	8	18	6	37	 13.5	5	 7.7				7.7		 7.1	10	USA	MT	MONTANA:  HEBGEN LAKE	  44.712	 -111.215	150	      28	1					      11.000	3					      28	1					      11.000	3				
4242		1961	4	4	21	32	    	16									USA	CA	CALIFORNIA:  TERMINAL ISLAND	  34.000	 -118.000	150							       4.500	2																
4274		1962	8	30	13	35	    	37	 5.8						 5.8		USA	UT	UTAH	  41.800	 -111.800	150							       2.000	2																
6326	Tsu	1962	12	21	8	42	 43.0	33	 6.5						 6.5		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  52.470	 -168.540	150																								
4311	Tsu	1964	3	28	3	36	    	33	 9.2	 9.2	 8.4					10	USA	AK	ALASKA	  61.017	 -147.648	150	      15	1					     284.000	4		3			     139	3					     400.000	4		3		
4337	Tsu	1965	2	4	5	1	 21.6	36	 8.7	 8.7	 7.8	 7.7				6	USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  51.290	  178.550	150								1											        .010	1				
4347	Tsu	1965	3	30	2	27	  3.4	20	 7.6	 7.6	 7.4						USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  50.320	  177.930	150																								
4351		1965	4	29	15	28	 43.7	59	 6.6		 6.6	 6.5			 6.5	8	USA	WA	WASHINGTON:  SEATTLE	  47.400	 -122.300	150	       7	1					      28.000	4					       7	1					      28.000	4				
6414	Tsu	1965	7	2	20	58	 38.1	40	 6.5		 6.5	 7.0					USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  53.030	 -167.550	150								1												1				
