example_name,estimate_name,SpearmanR_all,SpearmanR_test,pick_auc_test,pick_KL_div_test,training_lists,test_lists,data_size,test_size,extra_info,score_name,p_continue,generative_noise_scale,scoring_noise_scale,run_i,rand_seed
uci wine example,Stan inspection model,0.4826106749060866,0.4774460734660684,0.7077920937500001,0.7359974423570704,100,2000,6497,6014,"{""est_p_continue"": 0.8011844807499999}",quality,0.8,0.87,2.0,13,169061796
uci wine example,Stan list utility model,0.4506463287559973,0.4449671598377012,0.70327303125,0.6454880941123771,100,2000,6497,6014,,quality,0.8,0.87,2.0,13,169061796
uci wine example,Stan difference utility model,0.4458169923652361,0.4405194917187532,0.6945073124999999,0.7947522182110334,100,2000,6497,6014,,quality,0.8,0.87,2.0,13,169061796
uci wine example,"logistic differences, early stop=T",0.4688610535536932,0.4636095922589915,0.7205741250000001,0.4077459183354068,100,2000,6497,6014,,quality,0.8,0.87,2.0,13,169061796
uci wine example,"logistic differences, early stop=F",0.4347738058016884,0.4294258738342834,0.721167875,0.4092445348809117,100,2000,6497,6014,,quality,0.8,0.87,2.0,13,169061796
uci wine example,logistic items,0.45244995396338,0.4462685448701033,0.71675225,0.4098597034314777,100,2000,6497,6014,,quality,0.8,0.87,2.0,13,169061796
uci wine example,observed score,0.5177009027888764,0.5135643720142707,0.7296819062500001,0.4048083224847175,100,2000,6497,6014,,quality,0.8,0.87,2.0,13,169061796
uci wine example,Stan inspection model,0.3826828431056568,0.3807948038496006,0.68958275,0.9786886470779188,100,2000,6497,6017,"{""est_p_continue"": 0.7712638854999999}",quality,0.8,0.87,2.0,14,356456227
uci wine example,Stan list utility model,0.3606182353338877,0.3585934006527804,0.689366875,0.8647133384404502,100,2000,6497,6017,,quality,0.8,0.87,2.0,14,356456227
uci wine example,Stan difference utility model,0.3715727563603247,0.3695631861685313,0.68667778125,0.9430676151010552,100,2000,6497,6017,,quality,0.8,0.87,2.0,14,356456227
uci wine example,"logistic differences, early stop=T",0.298761382521521,0.2950069354935706,0.722808,0.4220950639544488,100,2000,6497,6017,,quality,0.8,0.87,2.0,14,356456227
uci wine example,"logistic differences, early stop=F",0.3729859838433392,0.371077595530151,0.7282185,0.4152083823436119,100,2000,6497,6017,,quality,0.8,0.87,2.0,14,356456227
uci wine example,logistic items,0.3478230131398423,0.3452732640329431,0.725574,0.4143250639335278,100,2000,6497,6017,,quality,0.8,0.87,2.0,14,356456227
uci wine example,observed score,0.5193943455240958,0.5207536254147919,0.732002375,0.4025344072125487,100,2000,6497,6017,,quality,0.8,0.87,2.0,14,356456227
uci wine example,Stan inspection model,0.389839110681586,0.3904831980063275,0.6836115,0.9585362200782804,100,2000,6497,6012,"{""est_p_continue"": 0.747358211}",quality,0.8,0.87,2.0,15,388316183
uci wine example,Stan list utility model,0.3983180640747428,0.3999084583634242,0.6877869375,0.7935213851598932,100,2000,6497,6012,,quality,0.8,0.87,2.0,15,388316183
uci wine example,Stan difference utility model,0.3997063144143873,0.4014161181688623,0.6822115625,0.9045365111485036,100,2000,6497,6012,,quality,0.8,0.87,2.0,15,388316183
uci wine example,"logistic differences, early stop=T",0.4150832382172867,0.4141738674549994,0.71146859375,0.4155678881090456,100,2000,6497,6012,,quality,0.8,0.87,2.0,15,388316183
uci wine example,"logistic differences, early stop=F",0.397723560209143,0.3995000204030056,0.71668646875,0.4138278036755373,100,2000,6497,6012,,quality,0.8,0.87,2.0,15,388316183
uci wine example,logistic items,0.384247254619649,0.3860747355685177,0.7142337812499998,0.4160585475304549,100,2000,6497,6012,,quality,0.8,0.87,2.0,15,388316183
uci wine example,observed score,0.5237715471794923,0.5207427542952875,0.7234790312499999,0.4067114346230989,100,2000,6497,6012,,quality,0.8,0.87,2.0,15,388316183
uci wine example,Stan inspection model,0.386063523242983,0.3806110559690867,0.6965959062499999,0.8605007403497007,100,2000,6497,6010,"{""est_p_continue"": 0.838363083}",quality,0.8,0.87,2.0,16,1962406242
uci wine example,Stan list utility model,0.335657820219929,0.3327477085212801,0.6904889687500001,0.7395762701133021,100,2000,6497,6010,,quality,0.8,0.87,2.0,16,1962406242
uci wine example,Stan difference utility model,0.354960590869473,0.3519415681461669,0.6860204062499999,0.901616870952402,100,2000,6497,6010,,quality,0.8,0.87,2.0,16,1962406242
uci wine example,"logistic differences, early stop=T",0.3183331111648878,0.3218376942488056,0.71533396875,0.4190919451194336,100,2000,6497,6010,,quality,0.8,0.87,2.0,16,1962406242
uci wine example,"logistic differences, early stop=F",0.3489973363677909,0.3457006007696288,0.7217827812500001,0.4126907994817518,100,2000,6497,6010,,quality,0.8,0.87,2.0,16,1962406242
uci wine example,logistic items,0.3123209268605064,0.3101044375411868,0.7194119062499998,0.4125072665018501,100,2000,6497,6010,,quality,0.8,0.87,2.0,16,1962406242
uci wine example,observed score,0.5110410705105554,0.5070656156824167,0.7399273749999999,0.3994951751551576,100,2000,6497,6010,,quality,0.8,0.87,2.0,16,1962406242
uci wine example,Stan inspection model,0.2952092629012944,0.2873709494030375,0.6761425,1.0348501430404469,100,2000,6497,6017,"{""est_p_continue"": 0.75855393525}",quality,0.8,0.87,2.0,17,772335818
uci wine example,Stan list utility model,0.3351550917522782,0.3274130181295578,0.68666003125,0.8310760023939622,100,2000,6497,6017,,quality,0.8,0.87,2.0,17,772335818
uci wine example,Stan difference utility model,0.3928983852468383,0.3862373309352708,0.69081203125,0.9327383760937203,100,2000,6497,6017,,quality,0.8,0.87,2.0,17,772335818
uci wine example,"logistic differences, early stop=T",0.3646715052476762,0.3570964743127571,0.7170994374999999,0.4449944290010078,100,2000,6497,6017,,quality,0.8,0.87,2.0,17,772335818
uci wine example,"logistic differences, early stop=F",0.4109821896877949,0.4045960437058157,0.7297375000000001,0.4041207636321218,100,2000,6497,6017,,quality,0.8,0.87,2.0,17,772335818
uci wine example,logistic items,0.3026789153800927,0.2944762103273867,0.716713375,0.4110813875795609,100,2000,6497,6017,,quality,0.8,0.87,2.0,17,772335818
uci wine example,observed score,0.5140753005741631,0.5075717347228337,0.727285625,0.4085713274286911,100,2000,6497,6017,,quality,0.8,0.87,2.0,17,772335818
uci wine example,Stan inspection model,0.1626370856184817,0.1611356989308559,0.6404255625,1.2549426202565124,100,2000,6497,6015,"{""est_p_continue"": 0.7850609070000001}",quality,0.8,0.87,2.0,18,566571108
uci wine example,Stan list utility model,0.1679173818100257,0.16612239666225,0.644145875,1.1455696431216564,100,2000,6497,6015,,quality,0.8,0.87,2.0,18,566571108
uci wine example,Stan difference utility model,0.1817758156089004,0.1801497853814821,0.64374271875,1.2336897367437765,100,2000,6497,6015,,quality,0.8,0.87,2.0,18,566571108
uci wine example,"logistic differences, early stop=T",0.2682250876948815,0.2674236786647519,0.7129101875,0.4229198388139052,100,2000,6497,6015,,quality,0.8,0.87,2.0,18,566571108
