Time Period,Charge-off rate on all loans,Charge-off rate on business loans,Charge-off rate on consumer loans,Charge-off rate on credit card loans,Charge-off rate on other consumer loans,Charge-off rate on loans to finance agricultural production,Charge-off rate on lease financing receivables,Charge-off rate on loans secured by real estate,Charge-off rate on farmland loans,Charge-off rate on single family residential mortgages,Charge-off rate on commercial real estate loans (excluding farmland),Delinquency rate on all loans,Delinquency rate on business loans,Delinquency rate on consumer loans,Delinquency rate on credit card loans,Delinquency rate on other consumer loans,Delinquency rate on loans to finance agricultural production,Delinquency rate on lease financing receivables,Delinquency rate on loans secured by real estate,Delinquency rate on farmland loans,Delinquency rate on single-family residential mortgages,Delinquency rate on commercial real estate loans (excluding farmland)
2005Q2,0.49,0.25,2.38,4.26,1.12,0.16,0.25,0.07,0.11,0.07,0.07,1.57,1.5,2.86,3.64,2.33,1.32,1.32,1.37,1.62,1.55,1.05
2005Q3,0.59,0.23,3.05,4.51,2.08,0.04,1.05,0.06,0.04,0.08,0.08,1.56,1.47,2.8,3.88,2.14,1.23,1.22,1.39,1.54,1.58,1.07
2005Q4,0.53,0.26,3.05,6.03,1.13,0,0.63,0.05,-0.04,0.06,-0.06,1.54,1.44,2.69,3.62,2.11,1.15,1.21,1.4,1.46,1.63,1.03
2006Q1,0.39,0.26,1.75,3.05,0.96,0.1,0.28,0.07,0.05,0.1,0.08,1.51,1.4,2.78,3.82,2.11,1.12,1.25,1.36,1.53,1.59,1.02
2006Q2,0.41,0.29,1.94,3.44,1,0.07,0.13,0.09,0.05,0.08,0.07,1.51,1.29,2.92,4.11,2.17,1.05,1.15,1.38,1.46,1.62,1.02
2006Q3,0.45,0.31,2.25,4,1.13,0.1,0.09,0.06,0.03,0.12,0.1,1.58,1.25,2.97,4.11,2.28,1.08,1.32,1.49,1.43,1.76,1.13
2006Q4,0.39,0.28,2.12,3.67,1.16,0.15,0.15,0.12,0.04,0.12,-0.07,1.69,1.15,2.94,4.01,2.27,1.18,1.29,1.7,1.41,1.95,1.32
2007Q1,0.52,0.4,2.33,3.81,1.43,0.08,0.25,0.12,0,0.16,0.18,1.74,1.2,2.93,3.95,2.29,1.19,1.21,1.77,1.48,2.03,1.43
2007Q2,0.53,0.44,2.35,3.79,1.49,0.11,0.2,0.18,0.01,0.17,0.16,1.87,1.18,2.99,4,2.37,1.34,1.05,2.01,1.55,2.3,1.63
2007Q3,0.63,0.48,2.56,4.15,1.59,0.11,0.29,0.19,0.07,0.27,0.24,2.14,1.2,3.2,4.4,2.48,1.15,1.17,2.4,1.44,2.77,1.97
2007Q4,0.76,0.66,2.74,4.27,1.8,0.12,0.2,0.43,-0.01,0.44,0.13,2.47,1.31,3.41,4.63,2.66,1.13,1.34,2.9,1.51,3.08,2.75
2008Q1,0.99,0.71,2.95,4.55,1.99,0.08,0.43,0.67,0.06,0.87,0.69,2.86,1.45,3.49,4.76,2.76,1.1,1.39,3.55,1.46,3.68,3.51
2008Q2,1.26,0.84,3.34,5.43,2.16,0.16,0.54,1.07,0.06,1.15,1,3.32,1.76,3.56,4.88,2.81,1.09,1.53,4.2,1.62,4.38,4.16
2008Q3,1.52,0.97,3.61,5.68,2.42,0.19,0.55,1.26,0.11,1.5,1.17,3.72,1.75,3.72,4.79,3.05,1.19,1.58,4.87,1.69,5.24,4.65
2008Q4,1.93,1.38,4.22,6.42,2.81,0.28,0.62,1.82,0.15,1.59,1.87,4.75,2.56,4.27,5.66,3.35,1.41,1.82,6.03,2.28,6.65,5.48
2009Q1,2.05,1.82,4.79,7.47,3,0.43,0.91,1.57,0.23,1.84,1.63,5.63,3.2,4.66,6.53,3.52,1.8,2.14,7.17,2.48,7.82,6.57
2009Q2,2.67,2.36,5.74,9.73,3.25,0.45,1.59,2.27,0.28,2.32,2.32,6.38,3.77,4.85,6.74,3.7,2.12,2.37,8.16,2.66,8.64,7.86
2009Q3,2.87,2.52,5.77,10.16,3.13,0.55,1.39,2.38,0.34,2.46,2.53,6.95,4.33,4.7,6.49,3.62,2.52,2.5,8.98,3.03,9.65,8.53
2009Q4,3.05,2.5,5.67,10.26,2.81,0.59,1.25,2.91,0.47,2.8,2.87,7.3,4.31,4.59,6.34,3.46,3.17,2.2,9.58,3.41,10.48,8.72
2010Q1,2.98,2.01,6.57,10.01,2.46,1.04,1,2.3,0.43,2.49,2.43,7.37,3.94,4.71,5.8,3.49,2.97,2.22,9.98,3.43,11.19,8.71
2010Q2,2.85,1.83,6.78,10.94,2.19,0.56,0.79,2.18,0.45,2.11,2.43,7.23,3.65,4.25,5.07,3.37,3.3,2.02,9.99,3.51,11.2,8.79
2010Q3,2.53,1.69,5.3,8.57,1.86,0.73,0.54,2.02,0.43,1.94,2.34,6.92,3.27,4.01,4.57,3.4,3.2,1.78,9.75,3.78,10.83,8.63
2010Q4,2.27,1.3,4.85,7.85,1.72,0.85,0.54,2.09,0.45,1.94,2.11,6.38,2.98,3.64,4.15,3.05,2.65,1.52,9.1,3.57,10.14,7.95
2011Q1,1.98,1.17,4.42,6.82,1.72,0.38,0.32,1.63,0.39,1.76,1.78,6.16,2.45,3.42,3.84,2.97,2.38,1.2,9.01,3.62,10.3,7.51
2011Q2,1.68,0.9,3.59,5.56,1.43,0.31,0.2,1.54,0.36,1.65,1.53,5.96,2.15,3.26,3.62,2.88,2.18,1.08,8.96,3.65,10.59,7.12
2011Q3,1.56,0.7,3.52,5.64,1.31,0.15,0.19,1.36,0.34,1.55,1.26,5.66,1.81,3.15,3.45,2.81,1.99,0.97,8.65,3.49,10.23,6.71
2011Q4,1.32,0.62,2.96,4.68,1.13,0.16,0.11,1.29,0.28,1.35,1.02,5.35,1.62,3.07,3.27,2.86,1.8,0.9,8.27,3.22,9.91,6.11
2012Q1,1.24,0.63,2.68,4.25,1.03,0.16,0.25,1.16,0.23,1.44,0.95,5.23,1.53,2.89,3.07,2.72,1.66,0.86,8.14,2.96,10.18,5.42
