"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/03/02","23:36","1.09","-","1.42"
"2018/03/02","23:42","0.945","-","1.35"
"2018/03/02","23:48","0.804","-","1.18"
"2018/03/02","23:54","0.67","-","1"
"2018/03/03","00:00","0.541","-","0.95"
"2018/03/03","00:06","0.419","-","0.83"
"2018/03/03","00:12","0.303","-","0.73"
"2018/03/03","00:18","0.195","-","0.63"
"2018/03/03","00:24","0.093","-","0.45"
"2018/03/03","00:30","-0.002","-","0.37"
"2018/03/03","00:36","-0.089","-","0.22"
"2018/03/03","00:42","-0.168","-","0.24"
"2018/03/03","00:48","-0.241","-","0.09"
"2018/03/03","00:54","-0.305","-","0.01"
"2018/03/03","01:00","-0.362","-","-0.05"
"2018/03/03","01:06","-0.412","-","-0.14"
"2018/03/03","01:12","-0.454","-","-0.04"
"2018/03/03","01:18","-0.488","-","-0.1"
"2018/03/03","01:24","-0.515","-","-0.14"
"2018/03/03","01:30","-0.534","-","-0.04"
"2018/03/03","01:36","-0.546","-","-0.2"
"2018/03/03","01:42","-0.55","-","-0.23"
"2018/03/03","01:48","-0.547","-","-0.16"
"2018/03/03","01:54","-0.538","-","-0.11"
"2018/03/03","02:00","-0.521","-","-0.16"
"2018/03/03","02:06","-0.497","-","-0.08"
"2018/03/03","02:12","-0.467","-","0"
"2018/03/03","02:18","-0.43","-","0.01"
"2018/03/03","02:24","-0.386","-","-0.02"
"2018/03/03","02:30","-0.336","-","0.07"
"2018/03/03","02:36","-0.28","-","0.16"
"2018/03/03","02:42","-0.218","-","0.18"
"2018/03/03","02:48","-0.151","-","0.2"
"2018/03/03","02:54","-0.077","-","0.25"
"2018/03/03","03:00","0.002","-","0.37"
"2018/03/03","03:06","0.086","-","0.46"
"2018/03/03","03:12","0.175","-","0.57"
"2018/03/03","03:18","0.268","-","0.66"
"2018/03/03","03:24","0.367","-","0.76"
"2018/03/03","03:30","0.469","-","0.84"
"2018/03/03","03:36","0.576","-","0.95"
"2018/03/03","03:42","0.686","-","1.04"
"2018/03/03","03:48","0.8","-","1.16"
"2018/03/03","03:54","0.917","-","1.28"
"2018/03/03","04:00","1.037","-","1.43"
"2018/03/03","04:06","1.159","-","1.59"
"2018/03/03","04:12","1.285","-","1.67"
"2018/03/03","04:18","1.412","-","1.87"
"2018/03/03","04:24","1.541","-","2.05"
"2018/03/03","04:30","1.672","-","2.17"
"2018/03/03","04:36","1.805","-","2.34"
"2018/03/03","04:42","1.938","-","2.45"
"2018/03/03","04:48","2.073","-","2.5"
"2018/03/03","04:54","2.208","-","2.65"
"2018/03/03","05:00","2.344","-","2.74"
"2018/03/03","05:06","2.48","-","2.98"
"2018/03/03","05:12","2.617","-","3.06"
"2018/03/03","05:18","2.753","-","3.21"
"2018/03/03","05:24","2.889","-","3.25"
"2018/03/03","05:30","3.025","-","3.43"
"2018/03/03","05:36","3.16","-","3.39"
"2018/03/03","05:42","3.295","-","3.57"
"2018/03/03","05:48","3.428","-","3.75"
"2018/03/03","05:54","3.56","-","3.8"
"2018/03/03","06:00","3.69","-","4.1"
"2018/03/03","06:06","3.819","-","4.09"
"2018/03/03","06:12","3.946","-","4.3"
"2018/03/03","06:18","4.071","-","4.41"
"2018/03/03","06:24","4.193","-","4.54"
"2018/03/03","06:30","4.313","-","4.56"
"2018/03/03","06:36","4.429","-","4.75"
"2018/03/03","06:42","4.543","-","4.75"
"2018/03/03","06:48","4.652","-","4.8"
"2018/03/03","06:54","4.758","-","4.92"
"2018/03/03","07:00","4.86","-","5.13"
"2018/03/03","07:06","4.957","-","5.21"
"2018/03/03","07:12","5.05","-","5.41"
"2018/03/03","07:18","5.137","-","5.35"
