"date","numeric_date","percent","tag"
2018-08-01,2018.58042436687,1.85878614886761,"pandas"
2018-09-01,2018.66529774127,1.79176093535391,"pandas"
2018-10-01,2018.74743326489,1.82005114407121,"pandas"
2018-11-01,2018.83230663929,1.92583879007066,"pandas"
2018-12-01,2018.9144421629,1.88694551330662,"pandas"
2019-01-01,2019,1.9132316600725,"pandas"
2019-02-01,2019.0848733744,2.03462284180971,"pandas"
2019-03-01,2019.16153319644,2.07677928448801,"pandas"
2019-04-01,2019.24640657084,2.12781164284858,"pandas"
2019-05-01,2019.32854209446,2.14511426553113,"pandas"
2019-06-01,2019.41341546886,2.15711734949428,"pandas"
2019-07-01,2019.49555099247,2.34033248219263,"pandas"
2019-08-01,2019.58042436687,2.49414959158746,"pandas"
2019-09-01,2019.66529774127,2.31119416289199,"pandas"
2019-10-01,2019.74743326489,2.43635994463919,"pandas"
2019-11-01,2019.83230663929,2.425536066618,"pandas"
2019-12-01,2019.9144421629,2.52607663047624,"pandas"
2020-01-01,2020,2.58824339933875,"pandas"
2020-02-01,2020.0848733744,2.61591921043714,"pandas"
2020-03-01,2020.16427104723,2.57847268580946,"pandas"
2020-04-01,2020.24914442163,2.64472811878512,"pandas"
2020-05-01,2020.33127994524,2.70771392760422,"pandas"
2020-06-01,2020.41615331964,2.84273618396292,"pandas"
2020-07-01,2020.49828884326,2.8343905879585,"pandas"
2020-08-01,2020.58316221766,2.77248250277961,"pandas"
2020-09-01,2020.66803559206,2.79491075386766,"pandas"
2020-10-01,2020.75017111567,2.91825422578171,"pandas"
2020-11-01,2020.83504449008,2.92795681070499,"pandas"
2020-12-01,2020.91718001369,2.79254577045239,"pandas"
2021-01-01,2021,2.67667104859903,"pandas"
2021-02-01,2021.0848733744,2.86896908824569,"pandas"
2021-03-01,2021.16153319644,2.99450005092125,"pandas"
2021-04-01,2021.24640657084,2.96898260762771,"pandas"
2021-05-01,2021.32854209446,2.96123384367094,"pandas"
2021-06-01,2021.41341546886,3.07388149473946,"pandas"
2021-07-01,2021.49555099247,3.13244481742233,"pandas"
2021-08-01,2021.58042436687,3.1064379932869,"pandas"
2021-09-01,2021.66529774127,2.99923313726541,"pandas"
2021-10-01,2021.74743326489,3.04974338259025,"pandas"
2021-11-01,2021.83230663929,3.18891573551138,"pandas"
2021-12-01,2021.9144421629,3.10393356407001,"pandas"
2022-01-01,2022,2.9309385382001,"pandas"
2022-02-01,2022.0848733744,3.14671135441712,"pandas"
2022-03-01,2022.16153319644,3.31957189148914,"pandas"
2022-04-01,2022.24640657084,3.19622347785404,"pandas"
2022-05-01,2022.32854209446,3.31356683921487,"pandas"
2022-06-01,2022.41341546886,3.31691566027574,"pandas"
2022-07-01,2022.49555099247,3.29724488522704,"pandas"
2022-08-01,2022.58042436687,3.37652514589771,"pandas"
2022-09-01,2022.66529774127,3.31172475696026,"pandas"
2022-10-01,2022.74743326489,3.29985426894533,"pandas"
2022-11-01,2022.83230663929,3.24509667102723,"pandas"
2022-12-01,2022.9144421629,3.01871119950955,"pandas"
2023-01-01,2023,2.81445404925003,"pandas"
2023-02-01,2023.0848733744,2.71707215520453,"pandas"
2023-03-01,2023.16153319644,2.60481295724866,"pandas"
2023-04-01,2023.24640657084,2.33336626230212,"pandas"
2023-05-01,2023.32854209446,2.20031513170113,"pandas"
2023-06-01,2023.41341546886,2.15340509104762,"pandas"
2023-07-01,2023.49555099247,2.07715084130388,"pandas"
2023-08-01,2023.58042436687,1.91147780281749,"pandas"
2023-09-01,2023.66529774127,1.82062611180258,"pandas"
2023-10-01,2023.74743326489,1.7654442662082,"pandas"
2023-11-01,2023.83230663929,1.86696050343697,"pandas"
2023-12-01,2023.9144421629,1.70155938034036,"pandas"
2024-01-01,2024,1.59668545000815,"pandas"
2024-02-01,2024.0848733744,1.42881472029317,"pandas"
2024-03-01,2024.16427104723,1.42638370181826,"pandas"
2024-04-01,2024.24914442163,1.30517143795721,"pandas"
2024-05-01,2024.33127994524,1.37770421014501,"pandas"
2024-06-01,2024.41615331964,1.13613870056817,"pandas"
2024-07-01,2024.49828884326,1.18845992461929,"pandas"
2024-08-01,2024.58316221766,1.13264440498827,"pandas"
2024-09-01,2024.66803559206,1.0529732629473,"pandas"
2024-10-01,2024.75017111567,0.943920690792634,"pandas"
2024-11-01,2024.83504449008,0.978488483375882,"pandas"
2024-12-01,2024.91718001369,0.844220909006731,"pandas"
2008-10-01,2008.75017111567,0.0117607145143686,"r"
